"",drug,cell_line,OncotreeCode,IC50,prediction,IC50_Z,prediction_Z
11455,Elephantin,SW1710,BLCA,3.982178,3.172001,0.270844,-0.286689
11456,Entinostat,SW1710,BLCA,3.080060,3.314266,0.641240,0.784306
11457,Fulvestrant,SW1710,BLCA,4.470763,4.302388,0.585661,0.452373
11458,GSK2801,SW1710,BLCA,5.933535,5.177387,1.060853,0.212587
11459,IWP-2,SW1710,BLCA,3.301452,3.330063,0.480415,0.512314
11460,JNK Inhibitor VIII,SW1710,BLCA,5.136165,5.300097,0.040834,0.211393
11461,NVP-ADW742,SW1710,BLCA,3.751762,2.958899,0.590456,0.052045
11462,OTX015,SW1710,BLCA,2.767908,3.029222,0.250159,0.390056
11463,Rapamycin,SW1710,BLCA,0.441454,-0.639701,1.389044,0.746841
11464,Rucaparib,SW1710,BLCA,5.486998,4.555113,1.411819,0.534695
11465,SB216763,SW1710,BLCA,5.643736,5.333556,0.445743,0.147180
11466,Savolitinib,SW1710,BLCA,3.749928,3.426756,0.847945,0.576475
11467,TW 37,SW1710,BLCA,3.599543,1.864674,1.626080,0.402014
11468,Talazoparib,SW1710,BLCA,5.921773,4.527080,1.424247,0.794545
11469,Uprosertib,SW1710,BLCA,3.718361,2.764908,0.500414,-0.058037
11470,Veliparib,SW1710,BLCA,6.147463,5.534086,0.967807,0.295888
11471,glutathione,SW1710,BLCA,8.746043,9.880028,-0.475141,0.790575
11472,5-Fluorouracil,SW1783,AASTR,4.954018,4.535414,0.326667,0.083259
11473,Axitinib,SW1783,AASTR,2.812221,3.126221,-0.054481,0.132746
11474,Camptothecin,SW1783,AASTR,-3.578123,-3.810275,-0.718132,-0.844371
11475,Doramapimod,SW1783,AASTR,5.786853,5.081482,0.713455,0.119847
11476,EPZ004777,SW1783,AASTR,3.803831,4.905779,-1.381307,-0.253458
11477,LJI308,SW1783,AASTR,5.242090,5.176379,0.244886,0.183935
11478,MK-1775,SW1783,AASTR,0.074712,0.625965,-0.395676,-0.007426
11479,Pevonedistat,SW1783,AASTR,2.823140,1.502556,0.908721,0.293840
11480,SB590885,SW1783,AASTR,4.919639,4.561597,0.425962,0.161809
11481,Savolitinib,SW1783,AASTR,3.282186,2.409228,0.455034,-0.278264
11482,Sepantronium bromide,SW1783,AASTR,-2.973044,-3.688160,0.735033,0.295764
11483,Temozolomide,SW1783,AASTR,4.947083,5.946726,-1.010906,-0.243764
11484,YK-4-279,SW1783,AASTR,2.105686,2.126019,-0.085706,-0.073394
11485,ZM447439,SW1783,AASTR,5.933878,2.151837,1.967753,-0.249140
11486,5-Fluorouracil,SW1990,PAAD,5.370016,5.723927,0.568560,0.774351
11487,AGK2,SW1990,PAAD,2.755086,3.743784,-0.549685,0.517153
11488,AZD3759,SW1990,PAAD,3.897696,3.346654,1.277518,0.769428
11489,AZD7762,SW1990,PAAD,-0.354888,1.155377,-0.336627,0.642332
11490,Cyclophosphamide,SW1990,PAAD,5.035083,5.653145,-0.252204,0.443254
11491,GNE-317,SW1990,PAAD,1.939047,1.306013,0.965543,0.479367
11492,GSK2578215A,SW1990,PAAD,4.897047,5.191245,-0.038098,0.266415
11493,GSK2830371,SW1990,PAAD,6.909284,6.304030,1.264050,0.749435
11494,GSK591,SW1990,PAAD,3.498312,5.053819,-0.723792,0.560803
11495,Nilotinib,SW1990,PAAD,5.282903,4.475813,1.124430,0.651448
11496,Oxaliplatin,SW1990,PAAD,5.169652,5.683631,0.493447,0.781647
11497,Talazoparib,SW1990,PAAD,4.724941,4.431040,0.883879,0.751183
11498,Telomerase Inhibitor IX,SW1990,PAAD,1.316433,0.983357,0.536607,0.266508
11499,Wee1 Inhibitor,SW1990,PAAD,3.097981,3.793983,0.716685,1.169258
11500,AZD5363,SW48,COAD,1.407252,2.560552,-0.999078,-0.199229
11501,AZD5438,SW48,COAD,2.466706,1.462126,0.063397,-0.598355
11502,Bleomycin,SW48,COAD,1.453892,1.611737,-0.829164,-0.719125
11503,Cediranib,SW48,COAD,1.058220,1.038819,-1.017222,-1.033493
11504,Cytarabine,SW48,COAD,3.407592,0.170199,0.812684,-0.607952
11505,Dihydrorotenone,SW48,COAD,1.406711,0.538002,0.393922,-0.156669
11506,Elephantin,SW48,COAD,3.126649,2.689482,-0.317898,-0.618741
11507,GDC0810,SW48,COAD,4.549829,4.880066,-0.568499,-0.219238
11508,GW441756,SW48,COAD,3.573719,3.242223,0.142689,-0.214318
11509,Ipatasertib,SW48,COAD,2.146911,2.678645,-0.863691,-0.498333
11510,L-Oxonoreleagnine,SW48,COAD,1.424071,3.572531,-3.060954,-0.282204
11511,LCL161,SW48,COAD,5.675015,5.250009,0.733261,0.390097
11512,LY2109761,SW48,COAD,4.501555,5.250357,-0.484374,0.233581
11513,MK-2206,SW48,COAD,2.185520,1.907852,-0.362766,-0.549406
11514,MK-8776,SW48,COAD,3.147698,3.755319,0.061366,0.428185
11515,Niraparib,SW48,COAD,3.304295,4.742415,-0.533978,0.414640
11516,Picolinici-acid,SW48,COAD,5.868252,5.470206,0.743222,0.249692
11517,Sorafenib,SW48,COAD,4.167555,2.669043,1.334830,0.101879
11518,YK-4-279,SW48,COAD,0.309261,0.735625,-1.173448,-0.915283
11519,Acetalax,SW620,COAD,7.558501,6.849586,1.359266,1.013752
11520,Afuresertib,SW620,COAD,5.214697,4.736592,1.910749,1.585895
11521,Buparlisib,SW620,COAD,1.491369,1.339044,0.381011,0.219385
11522,Cytarabine,SW620,COAD,1.067516,0.628949,-0.214190,-0.406643
11523,Daporinad,SW620,COAD,-3.869018,-5.753026,-0.190024,-0.861586
11524,EPZ5676,SW620,COAD,7.068305,6.611710,1.482798,1.038943
11525,I-BET-762,SW620,COAD,3.562212,3.137195,0.242757,-0.025931
11526,LY2109761,SW620,COAD,6.057542,6.766265,1.007514,1.687041
11527,MIM1,SW620,COAD,6.182340,4.274482,1.858337,0.269733
11528,MK-8776,SW620,COAD,6.275133,4.288476,1.949386,0.750049
11529,MN-64,SW620,COAD,6.453457,6.003121,1.718064,1.283401
11530,Obatoclax Mesylate,SW620,COAD,-0.535248,-0.089561,-0.939081,-0.540548
11531,Olaparib,SW620,COAD,4.862772,5.332919,0.486352,0.847517
11532,P22077,SW620,COAD,5.720683,6.168964,0.868505,1.164945
11533,Rucaparib,SW620,COAD,5.382571,4.513376,1.313529,0.495411
11534,Schweinfurthin A,SW620,COAD,2.235303,3.209722,0.485825,0.902136
11535,Sorafenib,SW620,COAD,2.724399,2.547472,0.147425,0.001852
11536,Tretinoin,SW620,COAD,6.485672,5.901541,1.663352,1.093915
11537,VX-11e,SW620,COAD,1.750181,1.213854,-0.678981,-1.058699
11538,Vinorelbine,SW620,COAD,-3.158867,-3.861412,-0.074879,-0.408067
11539,Vorinostat,SW620,COAD,0.995001,1.349745,-0.451622,-0.126331
11540,AZD6738,SW626,COAD,2.621612,3.554362,0.386104,1.024246
11541,Bortezomib,SW626,COAD,-4.761269,-4.712842,-0.020752,0.024574
11542,CCT007093,SW626,COAD,6.142387,6.084742,1.102791,1.035949
11543,Cisplatin,SW626,COAD,5.532962,5.224504,1.238276,1.072022
11544,Dihydrorotenone,SW626,COAD,0.226682,0.553899,-0.353984,-0.146593
11545,Fludarabine,SW626,COAD,0.356235,5.718060,-2.273001,0.487233
11546,JNK Inhibitor VIII,SW626,COAD,6.514825,6.366200,1.475231,1.320598
11547,Lapatinib,SW626,COAD,6.190377,5.677971,1.876163,1.552557
11548,Luminespib,SW626,COAD,0.192325,-1.996964,1.274375,0.069845
11549,MK-8776,SW626,COAD,4.417301,5.306844,0.827820,1.364834
11550,Nilotinib,SW626,COAD,3.371161,5.256621,0.004084,1.109028
11551,PLX-4720,SW626,COAD,4.967253,5.881023,0.511147,1.130642
11552,Schweinfurthin A,SW626,COAD,4.375508,3.798116,1.400206,1.153521
11553,Tamoxifen,SW626,COAD,6.923009,4.446998,2.406945,0.384612
11554,Taselisib,SW626,COAD,3.154225,3.035615,0.818770,0.748759
11555,UMI-77,SW626,COAD,2.642598,2.142451,-0.229456,-0.603367
11556,UNC0638,SW626,COAD,5.480097,5.552894,0.942363,0.993395
11557,Venetoclax,SW626,COAD,3.390214,4.026267,0.489536,0.796037
11558,Wnt-C59,SW626,COAD,3.257607,5.082043,-0.986340,0.679196
11559,AGK2,SW756,CESC,5.999696,3.901439,2.951358,0.687268
11560,AT13148,SW756,CESC,6.810759,6.155955,2.027621,1.621868
11561,AZD8186,SW756,CESC,4.487891,5.107131,0.963611,1.404593
11562,Afuresertib,SW756,CESC,4.501685,5.102971,1.426284,1.834836
11563,Alpelisib,SW756,CESC,5.036375,6.182887,1.126535,1.941267
11564,Bromosporine,SW756,CESC,5.087046,4.542278,2.135577,1.701544
11565,Camptothecin,SW756,CESC,-2.673470,-2.434717,-0.226204,-0.096377
11566,Dacarbazine,SW756,CESC,6.334728,6.473968,0.777050,0.924371
11567,Dihydrorotenone,SW756,CESC,-1.218670,-0.319952,-1.270054,-0.700443
11568,Dinaciclib,SW756,CESC,2.636528,1.090231,3.591113,2.541607
11569,EHT-1864,SW756,CESC,3.851984,4.293145,0.176674,0.625269
11570,EPZ5676,SW756,CESC,6.668707,6.650937,1.094350,1.077076
11571,LCL161,SW756,CESC,6.045720,6.420636,1.032581,1.335302
11572,Methotrexate,SW756,CESC,0.038637,-0.616402,-0.125852,-0.388755
11573,OTX015,SW756,CESC,5.588356,4.695729,1.760112,1.282236
11574,Paclitaxel,SW756,CESC,1.249452,1.441690,2.035567,2.130890
11575,Romidepsin,SW756,CESC,-3.038610,-4.213187,2.193504,1.023314
11576,Telomerase Inhibitor IX,SW756,CESC,1.016751,1.299699,0.293589,0.523038
11577,Veliparib,SW756,CESC,6.783985,6.354630,1.665080,1.194747
11578,AZD5153,SW780,BLCA,4.645948,2.427076,1.590648,0.467187
11579,Afatinib,SW780,BLCA,3.464251,2.700170,1.262368,0.746452
11580,CZC24832,SW780,BLCA,4.785089,5.287417,-0.371129,0.157739
11581,Docetaxel,SW780,BLCA,-3.000780,-1.596056,0.163376,0.714551
11582,EPZ5676,SW780,BLCA,6.325410,5.781464,0.760632,0.231863
11583,Epirubicin,SW780,BLCA,-0.967063,0.341645,-0.067778,0.706175
11584,GDC0810,SW780,BLCA,6.039646,5.278189,1.007143,0.201820
11585,Gemcitabine,SW780,BLCA,1.159713,2.836325,0.639921,1.196838
11586,Leflunomide,SW780,BLCA,5.368054,5.379855,0.362131,0.375051
11587,Lestaurtinib,SW780,BLCA,1.574516,2.181864,0.982907,1.358486
11588,MK-1775,SW780,BLCA,2.942030,1.272442,1.623791,0.447891
11589,MK-8776,SW780,BLCA,4.832378,4.823020,1.078401,1.072751
11590,Niraparib,SW780,BLCA,5.252648,4.947842,0.751202,0.550145
11591,OSI-027,SW780,BLCA,4.474372,1.606244,1.264828,-0.655107
11592,RVX-208,SW780,BLCA,5.276895,5.308879,0.499889,0.529603
11593,Sepantronium bromide,SW780,BLCA,-4.082190,-2.733015,0.053726,0.882474
11594,UMI-77,SW780,BLCA,5.637051,3.044979,2.009205,0.071365
11595,Vinorelbine,SW780,BLCA,-2.849889,-1.623405,0.071657,0.653329
11596,WZ4003,SW780,BLCA,5.973097,4.185228,1.320182,0.020077
11597,5-Fluorouracil,SW837,READ,4.067919,5.848046,-0.188579,0.846523
11598,AZ6102,SW837,READ,3.746228,3.315914,0.953601,0.572405
11599,AZD1332,SW837,READ,5.754289,4.865538,1.297466,0.718615
11600,AZD4547,SW837,READ,3.686265,4.161718,0.373678,0.670789
11601,Acetalax,SW837,READ,2.445455,1.982189,-1.132753,-1.358542
11602,BMS-345541,SW837,READ,4.623740,5.166428,1.019201,1.430194
11603,BMS-536924,SW837,READ,3.394407,2.800649,0.930721,0.500814
11604,Bosutinib,SW837,READ,3.415713,3.188475,0.520276,0.371949
11605,EPZ5676,SW837,READ,6.396333,6.083043,0.829576,0.525027
11606,Entospletinib,SW837,READ,5.575384,5.331104,1.556307,1.356483
11607,GSK343,SW837,READ,4.731788,4.444126,0.826315,0.615900
11608,Gallibiscoquinazole,SW837,READ,2.168119,2.999268,-0.598404,0.322509
11609,MK-8776,SW837,READ,4.825215,4.467655,1.074077,0.858219
11610,Navitoclax,SW837,READ,1.146913,0.737890,-0.310143,-0.511694
11611,Nilotinib,SW837,READ,5.157335,4.978230,1.050843,0.945881
11612,OSI-027,SW837,READ,3.953409,3.387559,0.916093,0.537311
11613,Pevonedistat,SW837,READ,2.400946,1.404151,0.712142,0.248022
11614,Refametinib,SW837,READ,0.709761,1.511786,-0.814834,-0.396592
11615,Serdemetan,SW837,READ,4.423966,4.411800,0.527408,0.517877
11616,Vorinostat,SW837,READ,0.824862,2.531347,-0.607635,0.957166
11617,AZ6102,SW948,COAD,1.773897,2.635948,-0.793597,-0.029945
11618,AZD1208,SW948,COAD,5.494661,5.602795,0.251777,0.357876
11619,AZD4547,SW948,COAD,3.335971,4.519645,0.154778,0.894458
11620,AZD7762,SW948,COAD,-0.019826,0.259729,-0.119439,0.061770
11621,AZD8055,SW948,COAD,-1.320921,0.069231,-0.937725,0.075799
11622,Daporinad,SW948,COAD,-4.550119,-4.427495,-0.432805,-0.389095
11623,GSK2606414,SW948,COAD,4.483776,5.030071,0.574170,1.023436
11624,Ibrutinib,SW948,COAD,5.965032,5.393507,1.053149,0.737864
11625,Lapatinib,SW948,COAD,5.095517,3.931162,1.184712,0.449373
11626,Nilotinib,SW948,COAD,5.020491,3.579723,0.970648,0.126309
11627,Nutlin-3a (-),SW948,COAD,6.362884,5.502699,1.084058,0.603843
11628,PCI-34051,SW948,COAD,5.918300,5.202985,1.183593,0.627426
11629,PD0325901,SW948,COAD,-1.231857,-1.317335,-1.201046,-1.240889
11630,Palbociclib,SW948,COAD,4.045131,3.454783,0.361532,-0.010304
11631,Rapamycin,SW948,COAD,-1.528877,-0.799537,0.218673,0.651899
11632,Sorafenib,SW948,COAD,3.689755,2.622827,0.941704,0.063853
11633,Taselisib,SW948,COAD,-0.129392,0.646840,-1.119425,-0.661245
11634,Uprosertib,SW948,COAD,0.745355,1.025918,-1.240918,-1.076588
11635,glutathione,SW948,COAD,10.152096,9.419693,1.094248,0.276765
11636,Axitinib,SW954,VSC,1.661527,1.039378,-0.740597,-1.111561
11637,Cyclophosphamide,SW954,VSC,5.091472,4.976708,-0.188754,-0.317889
11638,GSK2578215A,SW954,VSC,4.005505,4.666269,-0.960896,-0.276966
11639,Ipatasertib,SW954,VSC,2.652531,2.412786,-0.516276,-0.681007
11640,Irinotecan,SW954,VSC,0.297203,0.984281,-1.133895,-0.778686
11641,KRAS (G12C) Inhibitor-12,SW954,VSC,3.046514,3.865114,-0.914117,-0.380584
11642,Luminespib,SW954,VSC,-4.308959,-3.928498,-1.202197,-0.992871
11643,Methotrexate,SW954,VSC,2.558046,2.427090,0.885326,0.832766
11644,Navitoclax,SW954,VSC,-0.420566,0.451757,-1.082539,-0.652690
11645,OSI-027,SW954,VSC,3.015953,2.165882,0.288557,-0.280483
11646,P22077,SW954,VSC,3.375728,4.369007,-0.682174,-0.025336
11647,Sapitinib,SW954,VSC,2.223402,1.141575,-0.846655,-1.451846
11648,Savolitinib,SW954,VSC,2.892741,3.106864,0.127894,0.307761
11649,Sepantronium bromide,SW954,VSC,-5.600252,-4.105307,-0.878763,0.039526
11650,Telomerase Inhibitor IX,SW954,VSC,0.374892,-0.034416,-0.226910,-0.558828
11651,Vorinostat,SW954,VSC,0.899434,1.238208,-0.539255,-0.228608
11652,AGI-6780,SW982,SYNS,5.227709,4.809027,0.812871,0.427353
11653,AZD7762,SW982,SYNS,-0.611574,-0.210028,-0.503012,-0.242728
11654,Cyclophosphamide,SW982,SYNS,4.652324,5.194079,-0.682894,-0.073298
11655,Dacarbazine,SW982,SYNS,4.892079,5.371227,-0.749329,-0.242371
11656,Dactolisib,SW982,SYNS,-2.789000,-2.733850,-0.894033,-0.855461
11657,GSK2830371,SW982,SYNS,5.723526,5.581709,0.255864,0.135284
11658,Gemcitabine,SW982,SYNS,-3.078673,-3.523062,-0.767937,-0.915549
11659,IWP-2,SW982,SYNS,3.146002,3.144180,0.307106,0.305075
11660,Lestaurtinib,SW982,SYNS,-1.127024,-0.404574,-0.687702,-0.240945
11661,MN-64,SW982,SYNS,4.763190,4.446980,0.086624,-0.218581
11662,Niraparib,SW982,SYNS,4.115739,3.126895,0.001270,-0.650996
11663,PFI-1,SW982,SYNS,2.481808,2.980027,-1.396549,-0.954129
11664,SGC0946,SW982,SYNS,1.947371,2.128654,-0.196537,0.030473
11665,Sapitinib,SW982,SYNS,4.133318,3.952233,0.221782,0.120480
11666,Savolitinib,SW982,SYNS,3.325341,2.853395,0.491285,0.094843
11667,Topotecan,SW982,SYNS,-1.292838,-0.591799,-0.729521,-0.368642
11668,UNC0379,SW982,SYNS,3.243712,3.085726,-0.177144,-0.286134
11669,Vismodegib,SW982,SYNS,5.763519,4.894357,0.828541,-0.056549
11670,glutathione,SW982,SYNS,8.839718,8.861290,-0.370584,-0.346506
11671,Avagacestat,T24,BLCA,4.654258,4.763865,-0.097810,0.004424
11672,CCT-018159,T24,BLCA,4.191076,4.867383,0.423604,0.917341
11673,Camptothecin,T24,BLCA,-2.716812,-2.636812,-0.249772,-0.206271
11674,Dactinomycin,T24,BLCA,-2.669904,-3.328835,0.585724,0.235776
11675,EPZ004777,T24,BLCA,5.218231,5.330332,0.066338,0.181074
11676,GSK2578215A,T24,BLCA,5.301663,4.855356,0.380704,-0.081250
11677,IOX2,T24,BLCA,2.875460,2.874977,0.612654,0.612098
11678,LY2109761,T24,BLCA,3.895560,5.080770,-1.065405,0.070980
11679,NVP-ADW742,T24,BLCA,5.540760,4.938307,1.805314,1.396205
11680,P22077,T24,BLCA,5.804031,5.298872,0.923621,0.589568
11681,PD173074,T24,BLCA,4.786927,5.165561,0.728333,0.997738
11682,PFI3,T24,BLCA,5.996194,5.758214,0.712092,0.429186
11683,Piperlongumine,T24,BLCA,3.409943,2.840117,0.979442,0.504936
11684,Serdemetan,T24,BLCA,4.573168,4.787027,0.644297,0.811840
11685,VX-11e,T24,BLCA,3.661969,3.806054,0.674563,0.776575
11686,WZ4003,T24,BLCA,5.697416,5.769406,1.119712,1.172062
11687,AGI-6780,T47D,IDC,3.380732,3.791770,-0.887808,-0.509328
11688,AZD5153,T47D,IDC,2.208601,2.491873,0.356569,0.499995
11689,BIBR-1532,T47D,IDC,4.654630,4.575705,-0.309951,-0.387808
11690,BMS-345541,T47D,IDC,4.760588,4.488505,1.122840,0.916783
11691,Dabrafenib,T47D,IDC,3.951630,4.831894,-0.164558,0.310208
11692,Dacarbazine,T47D,IDC,6.017065,5.640516,0.440951,0.042547
11693,Fludarabine,T47D,IDC,4.462753,5.669102,-0.158992,0.462029
11694,GSK2578215A,T47D,IDC,5.003125,4.911147,0.071700,-0.023503
11695,LGK974,T47D,IDC,3.589349,3.297353,-0.585836,-0.849459
11696,LJI308,T47D,IDC,5.650924,5.347139,0.624107,0.342326
11697,LY2109761,T47D,IDC,3.148817,5.317924,-1.781385,0.298365
11698,ML323,T47D,IDC,3.747082,3.683987,-0.747471,-0.807243
11699,NVP-ADW742,T47D,IDC,2.732341,2.980115,-0.101805,0.066452
11700,PFI3,T47D,IDC,5.755426,4.942785,0.425872,-0.540181
11701,Palbociclib,T47D,IDC,3.234588,3.823120,-0.148995,0.221696
11702,Remodelin,T47D,IDC,3.987040,3.858521,-0.716725,-0.827726
11703,Tamoxifen,T47D,IDC,2.451953,3.061582,-1.244882,-0.746955
11704,UNC0638,T47D,IDC,4.102290,4.427739,-0.023513,0.204634
11705,Ulixertinib,T47D,IDC,3.329343,2.985699,0.520157,0.291609
11706,Veliparib,T47D,IDC,5.717061,5.131843,0.496326,-0.144746
11707,BIBR-1532,T84,COAD,4.614673,4.996592,-0.349368,0.027381
11708,BMS-754807,T84,COAD,1.491749,1.456059,-0.336119,-0.353984
11709,Dihydrorotenone,T84,COAD,0.574877,-0.674675,-0.133297,-0.925268
11710,Entospletinib,T84,COAD,4.759778,4.501379,0.889131,0.677757
11711,Epirubicin,T84,COAD,1.398432,2.194188,1.331145,1.801744
11712,I-BRD9,T84,COAD,5.768926,5.121209,1.107282,0.598880
11713,KU-55933,T84,COAD,3.562380,5.146692,-1.312323,0.093777
11714,LJI308,T84,COAD,5.531780,5.261126,0.513593,0.262543
11715,Mycophenolic acid,T84,COAD,2.312993,3.138226,0.336864,0.874291
11716,Nutlin-3a (-),T84,COAD,5.812877,5.103887,0.777006,0.381199
11717,OF-1,T84,COAD,4.826050,3.778073,0.602247,-0.293419
11718,PD0325901,T84,COAD,1.008711,0.401196,-0.156658,-0.439837
11719,PFI-1,T84,COAD,5.246758,4.449352,1.058734,0.350635
11720,PLX-4720,T84,COAD,4.490952,4.888262,0.188235,0.457594
11721,Romidepsin,T84,COAD,-3.729953,-3.800847,1.504743,1.434114
11722,Rucaparib,T84,COAD,4.696312,4.388940,0.667597,0.378287
11723,Ruxolitinib,T84,COAD,5.704074,4.840608,0.779715,0.036883
11724,Selumetinib,T84,COAD,3.190996,2.938050,-0.206943,-0.343297
11725,Serdemetan,T84,COAD,4.771803,4.129987,0.799913,0.297096
11726,Ulixertinib,T84,COAD,2.291715,2.119513,-0.169941,-0.284468
11727,AZD3759,T98G,GB,3.206174,2.938491,0.639898,0.393080
11728,AZD5582,T98G,GB,4.439673,4.861691,0.974376,1.154564
11729,Bromosporine,T98G,GB,2.134574,2.520081,-0.216748,0.090397
11730,CCT007093,T98G,GB,4.847125,4.939483,-0.399115,-0.292023
11731,Camptothecin,T98G,GB,-2.058794,-2.157625,0.108041,0.054299
11732,Dabrafenib,T98G,GB,5.405301,5.052147,0.619473,0.429001
11733,Entinostat,T98G,GB,4.474145,3.880544,1.492822,1.130219
11734,GSK343,T98G,GB,3.762809,3.804187,0.117539,0.147806
11735,Ipatasertib,T98G,GB,3.941533,3.674238,0.369408,0.185747
11736,KRAS (G12C) Inhibitor-12,T98G,GB,3.827523,4.348233,-0.405085,-0.065705
11737,Mycophenolic acid,T98G,GB,1.127296,2.443955,-0.435314,0.422152
11738,Olaparib,T98G,GB,4.788999,4.616610,0.429680,0.297252
11739,Ribociclib,T98G,GB,4.668628,4.126678,0.825781,0.382716
11740,Rucaparib,T98G,GB,4.007775,4.098706,0.019521,0.105109
11741,Schweinfurthin A,T98G,GB,-1.652350,0.320515,-1.175133,-0.332247
11742,Tanespimycin,T98G,GB,-2.203479,-0.966888,-1.336796,-0.557923
11743,Temsirolimus,T98G,GB,0.529175,0.390138,-0.300845,-0.382874
11744,UNC0638,T98G,GB,4.651398,4.598966,0.361425,0.324669
11745,Uprosertib,T98G,GB,3.075517,3.224240,0.123892,0.211001
11746,5-Fluorouracil,TALL1,ATLL,4.178028,3.912754,-0.124553,-0.278803
11747,AZD5363,TALL1,ATLL,1.043150,0.711625,-1.251593,-1.481516
11748,BMS-754807,TALL1,ATLL,-1.678606,-0.560041,-1.923082,-1.363170
11749,Bicalutamide,TALL1,ATLL,3.833025,3.224968,-0.952044,-1.630987
11750,GSK2578215A,TALL1,ATLL,4.159243,4.030617,-0.801768,-0.934904
11751,Gefitinib,TALL1,ATLL,1.861461,2.628446,-1.060559,-0.428045
11752,MIRA-1,TALL1,ATLL,2.497671,2.320002,-2.219595,-2.363521
11753,OF-1,TALL1,ATLL,3.309835,3.343177,-0.693605,-0.665108
11754,PCI-34051,TALL1,ATLL,2.043902,1.967038,-1.828805,-1.888568
11755,RVX-208,TALL1,ATLL,2.437643,3.254436,-2.137885,-1.379053
11756,Sapitinib,TALL1,ATLL,3.818894,3.526994,0.045888,-0.117405
11757,Selumetinib,TALL1,ATLL,0.419859,1.935315,-1.700763,-0.883835
11758,Sepantronium bromide,TALL1,ATLL,-1.663352,-3.558617,1.539529,0.375337
11759,VE821,TALL1,ATLL,1.889217,1.522225,-1.294190,-1.525912
11760,Vismodegib,TALL1,ATLL,4.649676,3.785041,-0.305714,-1.186193
11761,WEHI-539,TALL1,ATLL,-3.451595,-0.689088,-4.152544,-2.543666
11762,AGK2,TC71,ES,2.102726,2.727499,-1.253604,-0.579453
11763,AZD5153,TC71,ES,1.554950,-0.628851,0.025612,-1.080092
11764,Cytarabine,TC71,ES,0.432371,-0.467093,-0.492905,-0.887609
11765,Dihydrorotenone,TC71,ES,0.390408,0.798481,-0.250214,0.008424
11766,Gallibiscoquinazole,TC71,ES,2.235032,1.968853,-0.524265,-0.819190
11767,JNK Inhibitor VIII,TC71,ES,4.862287,4.769796,-0.244117,-0.340347
11768,L-Oxonoreleagnine,TC71,ES,3.686875,3.316781,-0.134315,-0.612983
11769,Luminespib,TC71,ES,-3.438954,-2.599679,-0.723527,-0.261764
11770,MN-64,TC71,ES,4.369350,3.974790,-0.293510,-0.674338
11771,Obatoclax Mesylate,TC71,ES,-0.376895,-0.051105,-0.797482,-0.506161
11772,PFI-1,TC71,ES,3.036811,3.324943,-0.903705,-0.647843
11773,Palbociclib,TC71,ES,2.332967,2.591818,-0.716889,-0.553849
11774,SN-38,TC71,ES,-6.697621,-6.025157,-1.258808,-1.071865
11775,Sabutoclax,TC71,ES,-2.545787,-1.258965,-1.730520,-0.716927
11776,Selumetinib,TC71,ES,4.601602,4.300350,0.553464,0.391070
11777,Vismodegib,TC71,ES,3.822990,4.197527,-1.147548,-0.766148
11778,Vorinostat,TC71,ES,0.683189,1.142131,-0.737546,-0.316708
11779,Wnt-C59,TC71,ES,3.818554,3.302776,-0.474248,-0.945104
11780,glutathione,TC71,ES,9.084411,8.676607,-0.097465,-0.552643
11781,AGK2,TCCSUP,BLCA,3.693679,3.752845,0.463088,0.526930
11782,AZ6102,TCCSUP,BLCA,4.668604,3.154457,1.770692,0.429378
11783,BMS-536924,TCCSUP,BLCA,1.490169,2.311494,-0.448031,0.146644
11784,CCT007093,TCCSUP,BLCA,6.162381,5.856529,1.125975,0.771327
11785,Cediranib,TCCSUP,BLCA,2.036566,2.784305,-0.196720,0.430379
11786,Entinostat,TCCSUP,BLCA,2.040708,3.132230,0.006347,0.673108
11787,Erlotinib,TCCSUP,BLCA,2.513304,3.856954,-0.322034,0.605353
11788,GSK-LSD1,TCCSUP,BLCA,1.505323,2.927994,-1.295298,0.319507
11789,GSK2606414,TCCSUP,BLCA,4.510960,4.693182,0.596526,0.746383
11790,GSK591,TCCSUP,BLCA,5.012731,5.273815,0.526870,0.742483
11791,ICL-SIRT078,TCCSUP,BLCA,6.288013,5.268131,1.437693,0.702408
11792,MN-64,TCCSUP,BLCA,4.263799,5.439927,-0.395387,0.739808
11793,Rucaparib,TCCSUP,BLCA,5.115726,4.971335,1.062364,0.926458
11794,Taselisib,TCCSUP,BLCA,2.785302,2.269604,0.601008,0.296612
11795,Topotecan,TCCSUP,BLCA,0.184215,0.784205,0.030833,0.339694
11796,UNC0379,TCCSUP,BLCA,6.138081,4.691553,1.819592,0.821677
11797,VX-11e,TCCSUP,BLCA,5.870803,4.593004,2.238414,1.333734
11798,Vinblastine,TCCSUP,BLCA,-1.422961,-0.326566,0.950834,1.454287
11799,Wee1 Inhibitor,TCCSUP,BLCA,3.021798,2.850691,0.667148,0.555886
11800,5-Fluorouracil,TE1,ESCC,7.336723,5.345298,1.712154,0.554187
11801,AGK2,TE1,ESCC,3.839203,3.435422,0.620114,0.184420
11802,Alisertib,TE1,ESCC,1.747152,1.899327,0.069237,0.135726
11803,BMS-754807,TE1,ESCC,0.584359,2.164790,-0.790325,0.000780
11804,CPI-637,TE1,ESCC,4.909791,5.327232,0.525660,0.815339
11805,Gallibiscoquinazole,TE1,ESCC,2.905948,2.953454,0.219110,0.271747
11806,KU-55933,TE1,ESCC,4.720948,5.242735,-0.284077,0.179016
